helper,audit_status,current_effect,allocation_class,perry_heap_allocation,may_collect,may_reenter_js,reason,proof,runtime_locations,declaration_locations,literal_direct_call_locations,declaration_occurrences,literal_direct_call_occurrences,dynamic_calls,dynamic_window,dynamic_binary_sha256,post-opt_callsites,post-opt_statepoints,post-opt_gc_live_operands,post-rs4gc_callsites,post-rs4gc_statepoints,post-rs4gc_gc_live_operands,pre-rs4gc_callsites,pre-rs4gc_statepoints,pre-rs4gc_gc_live_operands
js_dynamic_shl,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/value/dynamic_arith.rs:819,crates/perry-codegen/src/runtime_decls/strings.rs:1382,,1,0,,,,350,344,2072,350,344,2072,350,0,0
js_dynamic_shr,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/value/dynamic_arith.rs:795,crates/perry-codegen/src/runtime_decls/strings.rs:1383,,1,0,,,,207,204,868,207,204,871,207,0,0
js_dynamic_string_or_number_add,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/value/dynamic_arith.rs:534,crates/perry-codegen/src/runtime_decls/strings.rs:1370,crates/perry-codegen/src/expr/binary.rs:455;crates/perry-codegen/src/lower_string_concat.rs:362;crates/perry-codegen/src/lower_string_concat.rs:463,1,3,,,,9996,9938,61414,9996,9938,61424,10093,0,0
js_dynamic_sub,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/value/dynamic_arith.rs:645,crates/perry-codegen/src/runtime_decls/strings.rs:1371,,1,0,,,,3792,3730,20194,3792,3730,20198,3814,0,0
js_dynamic_ushr,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/value/dynamic_arith.rs:941,crates/perry-codegen/src/runtime_decls/strings.rs:1388,,1,0,,,,535,526,3021,535,526,3021,536,0,0
js_eh_try_push,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/exception.rs:209,crates/perry-codegen/src/runtime_decls/strings_part2.rs:758,crates/perry-codegen/src/stmt/try_stmt.rs:61,1,1,,,,16313,16046,82804,16310,16043,82812,16338,0,0
js_encode_uri,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/builtins/globals.rs:235,crates/perry-codegen/src/runtime_decls/strings_part2.rs:54,crates/perry-codegen/src/expr/os_uri_dates.rs:162,1,1,,,,4,4,7,4,4,7,4,0,0
js_encode_uri_component,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/builtins/globals.rs:257,crates/perry-codegen/src/runtime_decls/strings_part2.rs:56,crates/perry-codegen/src/expr/os_uri_dates.rs:174,1,1,,,,51,51,150,51,51,150,51,0,0
js_encoding_tag_from_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/buffer/from.rs:137,crates/perry-codegen/src/runtime_decls/strings.rs:1657,crates/perry-codegen/src/expr/env_clones.rs:246;crates/perry-codegen/src/expr/env_clones.rs:358;crates/perry-codegen/src/lower_call/property_get/number_string.rs:136,1,3,,,,8,8,11,8,8,11,8,0,0
js_eq,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/builtins/arithmetic.rs:41,crates/perry-codegen/src/runtime_decls/strings.rs:1172,crates/perry-codegen/src/expr/compare.rs:535,1,1,,,,16976,16916,137390,16976,16916,137394,17018,0,0
js_error_apply_cause_to_object,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/error.rs:696,crates/perry-codegen/src/runtime_decls/objects.rs:134,crates/perry-codegen/src/expr/this_super_call.rs:1325,1,1,,,,4,4,9,4,4,9,4,0,0
js_error_new_from_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/error.rs:776,crates/perry-codegen/src/runtime_decls/strings.rs:369,crates/perry-codegen/src/expr/math_simple.rs:476,1,1,,,,13,0,0,13,0,0,13,0,0
js_error_new_kind_from_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/error.rs:781,crates/perry-codegen/src/runtime_decls/strings.rs:370,crates/perry-codegen/src/expr/os_uri_dates.rs:421;crates/perry-codegen/src/expr/os_uri_dates.rs:431;crates/perry-codegen/src/expr/os_uri_dates.rs:441;crates/perry-codegen/src/expr/os_uri_dates.rs:451,1,4,,,,778,718,335,778,718,335,778,0,0
js_error_subclass_capture_stack,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/error_subclass_stack.rs:201,crates/perry-codegen/src/runtime_decls/objects.rs:138,crates/perry-codegen/src/expr/this_super_call.rs:1282;crates/perry-codegen/src/expr/this_super_call.rs:1620;crates/perry-codegen/src/lower_call/new_error_init.rs:67,1,3,,,,82,82,236,82,82,236,82,0,0
js_event_emitter_subclass_init,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/node_stream_constructors/builders.rs:82,crates/perry-codegen/src/runtime_decls/stdlib_ffi/streams_events.rs:10,crates/perry-codegen/src/expr/write_barrier.rs:1241,1,1,,,,2,2,5,2,2,5,2,0,0
js_event_loop_host_driven,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/event_pump.rs:534,crates/perry-codegen/src/runtime_decls/strings_part2.rs:743,crates/perry-codegen/src/codegen/entry.rs:1275,1,1,,,,2,2,0,1,1,0,1,0,0
js_event_new,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/event_target.rs:412,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1307,crates/perry-codegen/src/lower_call/builtin.rs:527,1,1,,,,9,9,28,9,9,28,9,0,0
js_event_subclass_init,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/event_target.rs:301,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1310,crates/perry-codegen/src/expr/this_super_call.rs:1050;crates/perry-codegen/src/lower_call/new_helpers.rs:292,1,2,,,,6,6,22,6,6,22,6,0,0
js_fetch_headers_to_json,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/global_fetch.rs:224,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:157,crates/perry-codegen/src/expr/logical_collections.rs:540,1,1,,,,11,11,41,11,11,41,11,0,0
js_fetch_input_ptr,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/global_fetch.rs:62,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:140,crates/perry-codegen/src/expr/logical_collections.rs:554,1,1,,,,11,11,30,11,11,30,11,0,0
js_fetch_or_value_super,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/global_this/fetch_globals.rs:639,crates/perry-codegen/src/runtime_decls/strings_part2.rs:1280,crates/perry-codegen/src/codegen/method.rs:1178;crates/perry-codegen/src/expr/this_super_call.rs:738;crates/perry-codegen/src/lower_call/new.rs:1815,1,3,,,,545,545,1958,545,545,1958,545,0,0
js_fetch_set_pending_signal,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/global_fetch.rs:42,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:153,crates/perry-codegen/src/expr/logical_collections.rs:561,1,1,,,,8,8,16,8,8,16,8,0,0
js_fetch_unwrap_handle,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/field_get_set.rs:102,crates/perry-codegen/src/runtime_decls/strings_part2.rs:964,crates/perry-codegen/src/lower_call/options/fetch.rs:368;crates/perry-codegen/src/lower_call/options/fetch.rs:539,1,2,,,,14,14,54,14,14,54,14,0,0
js_fetch_with_options,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/stdlib_stubs.rs:171,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:150,crates/perry-codegen/src/expr/logical_collections.rs:563,1,1,,,,11,11,22,11,11,22,11,0,0
js_finreg_new,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/weakref.rs:463,crates/perry-codegen/src/runtime_decls/strings_part2.rs:426,crates/perry-codegen/src/expr/array_methods.rs:355,1,1,,,,1,1,6,1,1,6,1,0,0
js_for_in_keys_stable_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/field_get_set/for_in_stable.rs:240,crates/perry-codegen/src/runtime_decls/strings.rs:424,crates/perry-codegen/src/expr/logical_collections.rs:947,1,1,,,,288,288,1191,289,289,1194,289,0,0
js_for_of_next,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/collection_iter_object.rs:421,crates/perry-codegen/src/runtime_decls/strings.rs:1577,,1,0,,,,6283,6215,26937,6283,6215,26937,6294,0,0
js_fs_append_file_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:564,crates/perry-codegen/src/runtime_decls/strings.rs:477,crates/perry-codegen/src/expr/bigint_set.rs:1443,1,1,,,,7,7,10,7,7,10,7,0,0
js_fs_chmod_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:870,crates/perry-codegen/src/runtime_decls/strings.rs:523,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:414,1,1,,,,3,3,13,3,3,13,3,0,0
js_fs_close_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/fd_ops.rs:203,crates/perry-codegen/src/runtime_decls/strings.rs:557,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:660,1,1,,,,11,10,7,11,10,7,14,0,0
js_fs_copy_file_sync_flags,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:1397,crates/perry-codegen/src/runtime_decls/strings.rs:519,crates/perry-codegen/src/expr/calls/fs.rs:194;crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:390,1,2,,,,1,1,1,1,1,1,1,0,0
js_fs_create_write_stream,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/stream.rs:1959,crates/perry-codegen/src/runtime_decls/strings.rs:602,crates/perry-codegen/src/expr/calls/fs.rs:333,1,1,,,,1,1,0,1,1,0,1,0,0
js_fs_exists_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:650,crates/perry-codegen/src/runtime_decls/strings.rs:483,crates/perry-codegen/src/expr/bigint_set.rs:601,1,1,,,,32,32,110,32,32,110,32,0,0
js_fs_fstat_sync_options,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/fd_sync_ops.rs:240,crates/perry-codegen/src/runtime_decls/strings.rs:534,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:464,1,1,,,,1,1,1,1,1,1,1,0,0
js_fs_fsync_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/fd_sync_ops.rs:82,crates/perry-codegen/src/runtime_decls/strings.rs:529,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:441,1,1,,,,1,1,2,1,1,2,1,0,0
js_fs_mkdir_sync_options,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:781,crates/perry-codegen/src/runtime_decls/strings.rs:503,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:350,1,1,,,,6,6,23,6,6,23,6,0,0
js_fs_mkdtemp_dispatch,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:1628,crates/perry-codegen/src/runtime_decls/strings.rs:593,crates/perry-codegen/src/expr/calls/fs.rs:269,1,1,,,,2,2,10,2,2,10,2,0,0
js_fs_open_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/fd_ops.rs:190,crates/perry-codegen/src/runtime_decls/strings.rs:556,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:652,1,1,,,,6,6,13,6,6,13,6,0,0
js_fs_read_file_binary,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:883,crates/perry-codegen/src/runtime_decls/strings.rs:636,crates/perry-codegen/src/expr/super_method.rs:494,1,1,,,,8,8,34,8,8,34,8,0,0
js_fs_read_file_dispatch,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:405,crates/perry-codegen/src/runtime_decls/strings.rs:486,crates/perry-codegen/src/expr/calls/fs.rs:120;crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:259,1,2,,,,30,26,52,30,26,52,30,0,0
js_fs_read_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/fd_ops.rs:223,crates/perry-codegen/src/runtime_decls/strings.rs:558,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:669,1,1,,,,7,7,42,7,7,42,7,0,0
js_fs_readdir_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/dirent.rs:401,crates/perry-codegen/src/runtime_decls/strings.rs:509,crates/perry-codegen/src/expr/calls/fs.rs:170;crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:297,1,2,,,,8,8,22,8,8,22,8,0,0
js_fs_realpath_dispatch,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:1534,crates/perry-codegen/src/runtime_decls/strings.rs:589,crates/perry-codegen/src/expr/calls/fs.rs:256,1,1,,,,4,4,9,4,4,9,4,0,0
js_fs_rename_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:1338,crates/perry-codegen/src/runtime_decls/strings.rs:516,crates/perry-codegen/src/expr/calls/fs.rs:183;crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:335,1,2,,,,1,1,1,1,1,1,1,0,0
js_fs_rm_recursive_options,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:968,crates/perry-codegen/src/runtime_decls/strings.rs:600,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:363,1,1,,,,1,1,2,1,1,2,1,0,0
js_fs_rmdir_sync_options,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:1716,crates/perry-codegen/src/runtime_decls/strings.rs:597,crates/perry-codegen/src/expr/calls/fs.rs:319;crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:376,1,2,,,,2,2,3,2,2,3,2,0,0
js_fs_stat_sync_options,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/stats.rs:483,crates/perry-codegen/src/runtime_decls/strings.rs:512,crates/perry-codegen/src/expr/calls/fs.rs:150;crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:312,1,2,,,,20,18,90,20,18,90,20,0,0
js_fs_unlink_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:826,crates/perry-codegen/src/runtime_decls/strings.rs:505;crates/perry-codegen/src/runtime_decls/strings.rs:1668,crates/perry-codegen/src/expr/fs_await.rs:36;crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:340,2,2,,,,3,3,3,3,3,3,3,0,0
js_fs_write_file_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/mod.rs:423,crates/perry-codegen/src/runtime_decls/strings.rs:470,crates/perry-codegen/src/expr/bigint_set.rs:1424,1,1,,,,6,6,14,6,6,14,6,0,0
js_fs_write_sync,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/fs/fd_ops.rs:320,crates/perry-codegen/src/runtime_decls/strings.rs:564,crates/perry-codegen/src/lower_call/native/native_fs_branch.rs:722,1,1,,,,23,23,23,23,23,23,24,0,0
js_function_prototype_value_for_read,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/class_registry/function_prototype.rs:79,crates/perry-codegen/src/runtime_decls/strings.rs:1548,crates/perry-codegen/src/expr/property_get.rs:625,1,1,,,,4,4,6,4,4,6,4,0,0
js_gc_declare_typed_shape_layout,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/layout/typed_shape.rs:469,crates/perry-codegen/src/runtime_decls/arrays.rs:202,,1,0,,,,23625,0,0,23628,0,0,23653,0,0
js_gc_forget_object_layout,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/layout_tables.rs:794,crates/perry-codegen/src/runtime_decls/arrays.rs:210,crates/perry-codegen/src/lower_call/typed_shape_init.rs:241,1,1,,,,9796,0,0,9796,0,0,9831,0,0
js_gc_init,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/mod.rs:1259,crates/perry-codegen/src/runtime_decls/mod.rs:43,crates/perry-codegen/src/codegen/entry.rs:576,1,1,,,,1,1,0,1,1,0,1,0,0
js_gc_init_typed_shape_layout,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/layout/typed_shape.rs:433,crates/perry-codegen/src/runtime_decls/arrays.rs:194,crates/perry-codegen/src/expr/object_literal.rs:206;crates/perry-codegen/src/lower_call/scalar_method.rs:706,1,2,,,,8601,0,0,8622,0,0,8633,0,0
js_gc_loop_safepoint,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/policy.rs:3315,crates/perry-codegen/src/runtime_decls/arrays.rs:159,crates/perry-codegen/src/stmt/loops.rs:7699,1,1,,,,15686,15629,79306,15686,15629,79312,20394,0,0
js_gc_note_slot_layout,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/layout.rs:1085,crates/perry-codegen/src/runtime_decls/arrays.rs:191,crates/perry-codegen/src/expr/write_barrier.rs:362,1,1,,,,1992,0,0,1992,0,0,2054,0,0
js_gc_note_slot_layout_aware,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/layout.rs:1103,crates/perry-codegen/src/runtime_decls/arrays.rs:193,crates/perry-codegen/src/expr/write_barrier.rs:380,1,1,,,,42427,0,0,42452,0,0,46815,0,0
js_gc_register_global_root,unreviewed,CannotCollect,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/roots.rs:391,crates/perry-codegen/src/runtime_decls/mod.rs:213,crates/perry-codegen/src/codegen/helpers.rs:1318;crates/perry-codegen/src/codegen/helpers.rs:1336;crates/perry-codegen/src/codegen/helpers.rs:1559;crates/perry-codegen/src/codegen/string_pool.rs:449;crates/perry-codegen/src/codegen/string_pool.rs:575,1,5,,,,125904,0,0,125904,0,0,125904,0,0
js_gc_release_current_thread_collection_side_allocations,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/mod.rs:1332,crates/perry-codegen/src/runtime_decls/strings.rs:1009,crates/perry-codegen/src/codegen/entry.rs:1400,1,1,,,,1,1,0,1,1,0,1,0,0
js_gc_typed_shape_id_for_keys,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/layout/typed_shape.rs:118,crates/perry-codegen/src/runtime_decls/strings.rs:1143,crates/perry-codegen/src/codegen/string_pool.rs:610,1,1,,,,11334,0,0,11334,0,0,11334,0,0
js_gc_write_barriers_emitted,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/gc/barrier/mod.rs:1150,crates/perry-codegen/src/runtime_decls/arrays.rs:139,crates/perry-codegen/src/codegen/entry.rs:578;crates/perry-codegen/src/codegen/entry.rs:1545,1,2,,,,1,1,0,1,1,0,1,0,0
js_generator_attach_closure_prototype,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/global_this/generator.rs:631,crates/perry-codegen/src/runtime_decls/strings_part2.rs:415,crates/perry-codegen/src/codegen/artifacts.rs:801;crates/perry-codegen/src/expr/static_field_meta.rs:760;crates/perry-codegen/src/lower_call/func_ref.rs:1484,1,3,,,,255,166,240,255,166,240,255,0,0
js_generator_attach_prototype,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/global_this/generator.rs:558,crates/perry-codegen/src/runtime_decls/strings_part2.rs:414,crates/perry-codegen/src/expr/static_field_meta.rs:767,1,1,,,,131,131,0,131,131,0,131,0,0
js_get_async_iterator,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/array/iterator.rs:832,crates/perry-codegen/src/runtime_decls/arrays.rs:324,crates/perry-codegen/src/expr/arrays_finds.rs:818,1,1,,,,195,167,273,195,167,273,195,0,0
js_get_current_step_closure,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/promise/async_step.rs:858,crates/perry-codegen/src/runtime_decls/stdlib_ffi/language_core.rs:304,crates/perry-codegen/src/expr/misc_methods.rs:986,1,1,,,,5333,4897,12082,5333,4897,12082,5882,0,0
js_get_dynamic_parent_value,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/class_registry/parent_static.rs:420,crates/perry-codegen/src/runtime_decls/strings.rs:1441,crates/perry-codegen/src/codegen/method.rs:1150;crates/perry-codegen/src/expr/this_super_call.rs:684;crates/perry-codegen/src/lower_call/new.rs:1783,1,3,,,,545,545,3829,545,545,3829,545,0,0
js_get_exception,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/exception.rs:561,crates/perry-codegen/src/runtime_decls/strings_part2.rs:765,crates/perry-codegen/src/stmt/mod.rs:131;crates/perry-codegen/src/stmt/try_stmt.rs:143;crates/perry-codegen/src/stmt/try_stmt.rs:189;crates/perry-codegen/src/stmt/try_stmt.rs:211,1,4,,,,16279,16023,30655,16277,16021,30661,16338,0,0
js_get_function_prototype_method,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/class_registry/prototype_methods.rs:386,crates/perry-codegen/src/runtime_decls/strings.rs:1543,crates/perry-codegen/src/expr/static_field_meta.rs:854,1,1,,,,10,10,66,10,10,66,10,0,0
js_get_global_this,unreviewed,Unknown,unclear,unclear,unclear,unclear,Not transitively audited in this finite first pass; declaration or literal call spelling alone is not effect evidence.,,crates/perry-runtime/src/object/global_this/fetch_globals.rs:72,crates/perry-codegen/src/runtime_decls/strings_part2.rs:229,crates/perry-codegen/src/codegen/entry.rs:259;crates/perry-codegen/src/codegen/entry.rs:301;crates/perry-codegen/src/expr/env_clones.rs:25;crates/perry-codegen/src/expr/index_set.rs:465,1,4,,,,3,3,7,3,3,7,3,0,0
